입력주소,X,Y
 경기도 성남시 수정구 수진동샛별오피스텔 부근,37.436971,127.128628
 경기도 성남시 중원구 성남동성남스포츠클라이밍센터 부근,37.431369,127.132716
 경기도 성남시 중원구 중앙동신흥사거리 부근,37.439954,127.152212
 경기도 성남시 중원구 성남동스파이더실내암벽클라이밍 부근,37.431369,127.132716
 경기도 성남시 중원구 은행동한솥도시락성남을지대옆점 부근,37.460222,127.174274
 경기도 성남시 분당구 야탑동야탑역 부근,37.406289,127.144594
 경기도 성남시 분당구 정자동청솔종합사회복지관 부근,37.364409,127.115503
 경기도 성남시 분당구 서현동돌마지하차도 부근,37.382264,127.134433
 경기도 성남시 분당구 야탑동중탑삼거리 부근,37.406289,127.144594
 경기도 성남시 분당구 서현동스타벅스서현미래에셋점 부근,37.382264,127.134433
 경기도 의정부시 의정부동쌩얼라인 부근,37.737474,127.042216
 경기도 의정부시 의정부동제임스시카고피자 부근,37.737474,127.042216
 경기도 의정부시 호원동호암교 부근,37.712317,127.034374
 경기도 의정부시 의정부동가재울교차로 부근,37.738064,127.033903
 경기도 의정부시 의정부동의정부역3번출구 부근,37.737474,127.042216
 경기도 의정부시 의정부동진흥건강원 부근,37.737474,127.042216
 경기도 안양시 만안구 안양동벽산사거리 부근,37.39671,126.921941
 경기도 안양시 만안구 안양동성결대학교사거리 부근,37.388556,126.916118
 경기도 안양시 만안구 안양동미래신협 부근,37.388556,126.916118
 경기도 안양시 동안구 평촌동평촌동주민센터 부근,37.388741,126.967994
 경기도 부천시 괴안동역곡남부역사거리 부근,37.481077,126.812153
 경기도 부천시 원미동북교사거리 부근,37.494708,126.792397
 경기도 부천시 고강동포인트마트부천고강점 부근,37.532105,126.815135
 경기도 부천시 소사본동소사본동행정복지센터 부근,37.473464,126.795327
 경기도 부천시 심곡동전화국사거리 부근,37.489202,126.780929
 경기도 부천시 심곡본동하우고개입구교차로 부근,37.50353,126.766332
 경기도 부천시 괴안동괴안삼거리 부근,37.481077,126.812153
 경기도 부천시 소사본동풍년3길앞교차로 부근,37.50353,126.766332
 경기도 부천시 원미동두산아파트입구교차로 부근,37.50353,126.766332
 경기도 부천시 송내동송내역 부근,37.48176,126.762767
 경기도 부천시 소사본동소사어울마당삼거리 부근,37.473464,126.795327
 경기도 부천시 삼정동신흥시장사거리 부근,37.524118,126.767147
 경기도 광명시 광명동광명2동우체국 부근,37.471701,126.852627
 경기도 평택시 통복동평택시장로터리 부근,36.992776,127.076417
 경기도 평택시 서정동여성회관앞교차로 부근,36.992286,127.112664
 경기도 평택시 평택동국민은행사거리 부근,36.98982,127.084586
 경기도 동두천시 생연동큰시장회전교차로 부근,37.903594,127.060398
 경기도 동두천시 생연동유림사거리 부근,37.903863,127.063579
 경기도 안산시 단원구 원곡동안산역삼거리 부근,37.327719,126.796079
 경기도 고양시 덕양구 성사동원당연세치과의원 부근,37.650564,126.847988
 경기도 고양시 일산동구 마두동마두역 부근,37.659124,126.783437
 경기도 고양시 일산서구 탄현동현산초교사거리 부근,37.697751,126.768768
 경기도 고양시 일산서구 일산동고려약국 부근,37.683312,126.770016
 경기도 남양주시 평내동복음빛교회 부근,37.646447,127.235199
 경기도 남양주시 와부읍와부파출소 부근,37.594029,127.247105
 경기도 남양주시 진접읍내각사거리 부근,37.725543,127.193685
 경기도 남양주시 화도읍서울내과 부근,37.652827,127.315937
 경기도 남양주시 금곡동미금농협하나로마트본점 부근,37.632041,127.212155
 경기도 남양주시 화도읍롯데하이마트마석점 부근,37.652827,127.315937
 경기도 오산시 오산동운동장사거리 부근,37.149596,127.071598
 경기도 시흥시 정왕동시화병원사거리 부근,37.349715,126.728256
 경기도 시흥시 정왕동정왕역 부근,37.349715,126.728256
 경기도 군포시 산본동산본사거리 부근,37.361127,126.922845
 경기도 하남시 신장동신장사거리 부근,37.543631,127.215021
 경기도 하남시 덕풍동덕풍시장교차로 부근,37.53926,127.214863
 경기도 하남시 신장동덕보교사거리 부근,37.543631,127.215021
 경기도 용인시 기흥구 마북동남서울빛교회 부근,37.306694,127.127506
 경기도 용인시 기흥구 신갈동신갈오거리 부근,37.283088,127.10139
 경기도 용인시 수지구 죽전동도담마을주공8단지 807동 부근,37.325562,127.112912
 경기도 파주시 조리읍파주약국 부근,37.750843,126.823094
 경기도 파주시 문산읍문산우체국 부근,37.874168,126.780397
 경기도 파주시 금촌동금촌역교차로 부근,37.760144,126.779968
 경기도 파주시 와동운정1동행정복지센터앞교차로 부근,37.760144,126.779968
 경기도 이천시 장호원읍장호원우체국 부근,37.134711,127.596415
 경기도 이천시 중리동관고교 부근,37.275132,127.440902
 경기도 안성시 석정동안성보룡약국 부근,37.010318,127.259913
 경기도 김포시 북변동이연숙가발 부근,37.626092,126.711214
 경기도 김포시 양촌읍양촌파출소 부근,37.645418,126.628831
 경기도 김포시 통진읍마송사거리 부근,37.695998,126.599609
 경기도 김포시 고촌읍신곡사거리 부근,37.606516,126.762855
 경기도 화성시 병점동병점사거리 부근,37.206324,127.039371
 경기도 화성시 남양읍남양교차로 부근,37.199545,126.831448
 경기도 화성시 반송동휴먼시아사거리 부근,37.193973,127.070222
 경기도 양주시 백석읍복지사거리 부근,37.788911,126.977633
 경기도 양주시 회정동IBK기업은행양주지점 부근,37.836409,127.052742
 경기도 포천시 내촌면내촌삼거리 부근,37.797623,127.235369
 경기도 연천군 전곡읍전곡시외버스터미널 부근,37.994415,127.037165
 경기도 가평군 가평읍가평군농협하나로마트자라점 부근,37.828823,127.487529
 경기도 양평군 양평읍국민건강보험공단 양평지사 부근,37.493555,127.514063
 경기도 양평군 용문면용문농협 용문본점 부근,37.519778,127.588106
