,가해자성별,교차로형태,기상상태,노면상태,노면상태_대분류,노인보호구역,당사자종별가해자,당사자종별피해자,도로선형,도로선형_대분류,도로선형_중분류,도로종류,도로형태,법규위반가해자,보호장구가해자_대분류,보호장구피해자_대분류,사고유형,사고유형_대분류,어린이보호구역,연령가해자,연령피해자,요일,주야,차량용도가해자,차량용도가해자_대분류,차량용도피해자,차량용도피해자_대분류,피해자성별,행동유형가해자,행동유형피해자,행동유형피해자_대분류,도로심각도지수basic
53411,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,기타불명,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,49,83,목,야,비사업용 승용차,비사업용,보행자,보행자,남,좌우회전중,보행자 기타불명,보행자,0.0068
53413,여,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,44,62,토,주,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 기타불명,보행자,0.0068
53435,남,교차로아님,맑음,건조,포장 건조,아니오,자전거,보행자,평지,직선,직선,시도,기타불명,기타불명,기타불명,보행자,기타불명,차대사람,아니오,47,68,금,주,자전거,자전거,보행자,보행자,여,직진중,보행자 보도통행중,보행자,0.1168
53439,남,교차로아님,맑음,건조,포장 건조,아니오,경형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,31,60,화,야,비사업용 승용차,비사업용,보행자,보행자,남,직진중,보행자 기타횡단중,보행자,0.1168
53447,여,교차로아님,맑음,건조,포장 건조,아니오,경형,보행자,오르막,직선,직선,시도,횡단보도상,보행자보호의무위반,기타불명,보행자,횡단중,차대사람 횡단중,아니오,56,73,수,주,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 횡단보도횡단중,보행자,0.0068
53463,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,기타불명,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,23,86,월,주,비사업용 승용차,비사업용,보행자,보행자,여,후진중,보행자 기타불명,보행자,0.0033
53465,남,교차로아님,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,기타불명,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,길가장자리구역통행중,차대사람 길가장자리구역통행중,아니오,32,78,월,주,비사업용 화물차,비사업용,보행자,보행자,여,직진중,보행자 기타불명,보행자,0.0068
53474,남,교차로사지,맑음,건조,포장 건조,아니오,건설기계,보행자,평지,직선,직선,시도,교차로내,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,56,64,목,주,사업용 기타건설기계,사업용,보행자,보행자,여,직진중,보행자 기타횡단중,보행자,0.1168
53488,남,교차로아님,맑음,건조,포장 건조,아니오,대형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,54,73,토,주,사업용 시내버스,사업용,보행자,보행자,여,출발중,보행자 기타불명,보행자,0.1168
53505,여,교차로삼지,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,일반국도,교차로부근,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,52,68,화,주,비사업용 승용차,비사업용,보행자,보행자,여,좌우회전중,보행자 기타횡단중,보행자,0.0068
53560,여,교차로아님,맑음,건조,포장 건조,아니오,경형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,35,65,수,야,비사업용 승용차,비사업용,보행자,보행자,여,좌우회전중,보행자 기타불명,보행자,0.1168
53563,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,56,63,목,주,비사업용 화물차,비사업용,보행자,보행자,여,후진중,보행자 기타불명,보행자,0.0068
53568,남,교차로아님,맑음,건조,포장 건조,아니오,대형,보행자,평지,직선,직선,시도,기타단일로,기타불명,안전벨트카시트,보행자,기타불명,차대사람,아니오,58,69,목,주,사업용 시내버스,사업용,보행자,보행자,여,주정차중,보행자 기타불명,보행자,0.0068
53589,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,44,61,토,주,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 기타불명,보행자,0.1168
53592,남,교차로아님,비,젖음습기,포장 젖음습기,아니오,중형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,기타불명,보행자,횡단중,차대사람 횡단중,아니오,56,82,월,야,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 기타횡단중,보행자,0.1168
53633,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,일반국도,기타단일로,신호위반,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,66,63,일,주,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 횡단보도횡단중,보행자,0.0068
53635,남,교차로아님,맑음,건조,포장 건조,아니오,대형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,59,60,일,주,사업용 시내버스,사업용,보행자,보행자,여,출발중,보행자 기타불명,보행자,0.1168
53649,여,교차로아님,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,49,73,수,주,비사업용 승용차,비사업용,보행자,보행자,남,직진중,보행자 기타횡단중,보행자,0.0068
53658,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,일반국도,기타불명,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,43,72,목,주,사업용 시내버스,사업용,보행자,보행자,여,직진중,보행자 보도통행중,보행자,0.0033
53673,남,교차로아님,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,기타불명,기타불명,안전운전의무불이행,기타불명,보행자,기타불명,차대사람,아니오,61,73,토,주,비사업용 승용차,비사업용,보행자,보행자,남,직진중,보행자 길가장자리구역통행중,보행자,0.1168
53679,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,60,75,월,주,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 기타불명,보행자,0.0068
53685,남,교차로아님,맑음,건조,포장 건조,아니오,대형,보행자,평지,직선,직선,일반국도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,52,78,화,주,사업용 시내버스,사업용,보행자,보행자,남,출발중,보행자 기타횡단중,보행자,0.1168
53703,남,교차로아님,맑음,건조,포장 건조,아니오,자전거,보행자,평지,직선,직선,시도,기타단일로,기타불명,안전모,보행자,기타불명,차대사람,아니오,16,94,금,주,자전거,자전거,보행자,보행자,여,직진중,보행자 기타불명,보행자,0.0068
53721,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,시도,횡단보도상,보행자보호의무위반,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,31,60,화,야,비사업용 승용차,비사업용,보행자,보행자,남,직진중,보행자 횡단보도횡단중,보행자,0.0068
53733,남,교차로아님,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,54,83,금,주,사업용 개별화물,사업용,보행자,보행자,여,후진중,보행자 기타불명,보행자,0.0068
53770,남,교차로아님,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,기타불명,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,61,63,토,주,비사업용 비사업용기타,비사업용,보행자,보행자,남,직진중,보행자 기타불명,보행자,0.0068
53795,남,교차로사지,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,일반국도,교차로부근,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,52,89,목,주,비사업용 비사업용기타,비사업용,보행자,보행자,남,좌우회전중,보행자 기타불명,보행자,0.0068
53798,여,교차로삼지,맑음,건조,포장 건조,아니오,경형,보행자,내리막,좌 커브곡각,좌,일반국도,교차로내,보행자보호의무위반,기타불명,보행자,횡단중,차대사람 횡단중,아니오,37,67,금,주,비사업용 승용차,비사업용,보행자,보행자,여,좌우회전중,보행자 횡단보도횡단중,보행자,0.1168
53800,남,교차로아님,맑음,건조,포장 건조,아니오,소형,보행자,기타서비스구역,기타구역,기타구역,기타불명,기타불명,안전운전의무불이행,기타불명,보행자,기타불명,차대사람,아니오,52,92,금,주,비사업용 비사업용기타,비사업용,보행자,보행자,여,후진중,보행자 기타불명,보행자,0.0068
53812,남,교차로아님,맑음,건조,포장 건조,아니오,경형,보행자,평지,직선,직선,지방도,기타단일로,안전운전의무불이행,기타불명,보행자,횡단중,차대사람 횡단중,아니오,45,78,일,야,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 기타횡단중,보행자,0.0068
53815,여,기타불명,기타불명,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,일반국도,기타불명,기타불명,기타불명,보행자,기타불명,차대사람,아니오,48,71,일,주,사업용 시내버스,사업용,보행자,보행자,여,직진중,보행자 기타불명,보행자,0.1168
53816,여,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,일반국도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,41,68,월,주,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 기타불명,보행자,0.1168
53819,남,기타불명,맑음,건조,포장 건조,아니오,자전거,보행자,기타서비스구역,기타구역,기타구역,일반국도,기타불명,기타불명,기타불명,보행자,보도통행중,차대사람 보도통행중,아니오,53,62,수,주,자전거,자전거,보행자,보행자,여,직진중,보행자 기타횡단중,보행자,0.0068
53825,기타불명,교차로사지,맑음,건조,포장 건조,아니오,원동기장치자전거,보행자,평지,직선,직선,시도,교차로내,신호위반,안전모,보행자,횡단중,차대사람 횡단중,아니오,0,73,수,주,원동기장치자전거,원동기장치자전거,보행자,보행자,여,직진중,보행자 횡단보도횡단중,보행자,0.0068
53826,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,오르막,직선,직선,시도,기타단일로,안전운전의무불이행,기타불명,보행자,길가장자리구역통행중,차대사람 길가장자리구역통행중,아니오,43,77,토,야,비사업용 승용차,비사업용,보행자,보행자,남,직진중,보행자 기타불명,보행자,0.1168
53846,남,교차로삼지,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,시도,교차로부근,안전운전의무불이행,안전모,보행자,횡단중,차대사람 횡단중,아니오,21,67,월,주,이륜차,이륜차,보행자,보행자,여,좌우회전중,보행자 길가장자리구역통행중,보행자,0.0101
53885,여,교차로아님,맑음,건조,포장 건조,아니오,소형,보행자,오르막,직선,직선,기타불명,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,39,79,금,주,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 노상작업중,보행자,0.0068
53902,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,일반국도,기타불명,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,40,68,목,주,사업용 법인택시,사업용,보행자,보행자,여,후진중,보행자 기타횡단중,보행자,0.1168
53918,남,교차로사지,비,젖음습기,포장 젖음습기,아니오,소형,보행자,평지,직선,직선,시도,교차로부근,안전운전의무불이행,기타불명,보행자,횡단중,차대사람 횡단중,아니오,46,64,월,주,비사업용 화물차,비사업용,보행자,보행자,여,직진중,보행자 기타횡단중,보행자,0.1168
53929,남,교차로아님,맑음,건조,포장 건조,아니오,자전거,보행자,평지,직선,직선,기타불명,기타단일로,안전운전의무불이행,안전모,보행자,기타불명,차대사람,아니오,11,66,수,야,자전거,자전거,보행자,보행자,남,직진중,보행자 기타불명,보행자,0.1168
53949,남,교차로아님,맑음,건조,포장 건조,아니오,자전거,보행자,평지,직선,직선,시도,기타단일로,중앙선침범,안전모,보행자,횡단중,차대사람 횡단중,아니오,12,64,월,주,자전거,자전거,보행자,보행자,여,직진중,보행자 보도통행중,보행자,0.0068
53954,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,일반국도,기타단일로,안전운전의무불이행,기타불명,보행자,기타불명,차대사람,아니오,43,78,목,주,사업용 시내버스,사업용,보행자,보행자,여,직진중,보행자 기타불명,보행자,0.0068
53965,남,교차로사지,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,지방도,교차로내,안전운전의무불이행,기타불명,보행자,기타불명,차대사람,아니오,55,72,일,야,사업용 법인택시,사업용,보행자,보행자,여,직진중,보행자 횡단보도횡단중,보행자,0.1168
53981,남,교차로아님,비,젖음습기,포장 젖음습기,아니오,소형,보행자,평지,직선,직선,시도,횡단보도상,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,47,71,토,주,사업용 일반화물,사업용,보행자,보행자,여,직진중,보행자 기타불명,보행자,0.1168
53985,남,교차로아님,비,젖음습기,포장 젖음습기,아니오,소형,보행자,평지,직선,직선,일반국도,기타불명,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,29,69,토,야,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 기타불명,보행자,1.0
53998,여,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,시도,횡단보도상,보행자보호의무위반,안전벨트카시트,보행자,보도통행중,차대사람 보도통행중,아니오,48,69,월,주,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 횡단보도횡단중,보행자,0.0068
54003,여,교차로사지,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,기타불명,교차로부근,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,58,63,월,주,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 노상작업중,보행자,0.0068
54077,여,교차로아님,맑음,건조,포장 건조,아니오,경형,보행자,평지,직선,직선,일반국도,기타단일로,안전운전의무불이행,기타불명,보행자,횡단중,차대사람 횡단중,아니오,50,69,월,주,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 기타불명,보행자,0.0068
54122,여,교차로아님,맑음,건조,포장 건조,아니오,대형,보행자,오르막,직선,직선,기타불명,기타불명,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,60,70,화,야,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 기타불명,보행자,0.1168
54127,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,기타불명,기타단일로,안전운전의무불이행,기타불명,보행자,기타불명,차대사람,아니오,47,60,수,야,비사업용 승용차,비사업용,보행자,보행자,남,직진중,보행자 기타횡단중,보행자,0.0068
54131,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,내리막,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,23,85,목,주,비사업용 승용차,비사업용,보행자,보행자,여,좌우회전중,보행자 기타불명,보행자,0.1168
54132,남,교차로아님,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,기타불명,보행자,횡단중,차대사람 횡단중,아니오,34,77,목,주,비사업용 화물차,비사업용,보행자,보행자,남,직진중,보행자 기타횡단중,보행자,0.1168
54167,남,교차로아님,맑음,건조,포장 건조,아니오,원동기장치자전거,보행자,평지,직선,직선,시도,기타단일로,신호위반,안전모,보행자,기타불명,차대사람,아니오,33,62,월,야,원동기장치자전거,원동기장치자전거,보행자,보행자,남,직진중,보행자 횡단보도부근횡단중,보행자,0.1168
54172,남,기타불명,맑음,건조,포장 건조,아니오,경형,보행자,기타서비스구역,기타구역,기타구역,지방도,기타불명,안전운전의무불이행,기타불명,보행자,횡단중,차대사람 횡단중,아니오,62,69,화,야,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 기타불명,보행자,1.0
54178,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,기타불명,기타단일로,신호위반,기타불명,보행자,횡단중,차대사람 횡단중,아니오,36,71,화,야,사업용 렌터카,사업용,보행자,보행자,여,좌우회전중,보행자 기타횡단중,보행자,0.1168
54197,남,교차로아님,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,시도,기타단일로,신호위반,기타불명,보행자,횡단중,차대사람 횡단중,아니오,41,73,월,주,비사업용 화물차,비사업용,보행자,보행자,여,직진중,보행자 횡단보도횡단중,보행자,0.0068
54199,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,시도,기타단일로,보행자보호의무위반,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,40,80,월,야,비사업용 승용차,비사업용,보행자,보행자,여,좌우회전중,보행자 횡단보도횡단중,보행자,0.0068
54208,남,교차로사지,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,기타불명,교차로내,안전운전의무불이행,기타불명,보행자,횡단중,차대사람 횡단중,아니오,51,80,화,주,비사업용 승용차,비사업용,보행자,보행자,여,좌우회전중,보행자 기타횡단중,보행자,0.0068
54209,여,교차로사지,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,일반국도,교차로부근,안전운전의무불이행,기타불명,보행자,횡단중,차대사람 횡단중,아니오,55,69,화,주,사업용 렌터카,사업용,보행자,보행자,여,직진중,보행자 기타횡단중,보행자,0.0068
54236,여,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,시도,기타단일로,중앙선침범,안전벨트카시트,보행자,차도통행중,차대사람 차도통행중,아니오,52,65,월,야,비사업용 승용차,비사업용,보행자,보행자,남,좌우회전중,보행자 마주보고통행중차도,보행자,0.1168
54244,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,일반국도,횡단보도부근,신호위반,안전모,보행자,횡단중,차대사람 횡단중,아니오,56,65,수,야,이륜차,이륜차,보행자,보행자,여,직진중,보행자 기타불명,보행자,0.0068
54248,남,교차로아님,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,30,79,목,주,비사업용 화물차,비사업용,보행자,보행자,여,후진중,보행자 등지고통행중차도,보행자,0.1168
54276,여,교차로삼지,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,기타불명,교차로내,안전운전의무불이행,안전벨트카시트,보행자,길가장자리구역통행중,차대사람 길가장자리구역통행중,아니오,36,64,수,야,비사업용 승용차,비사업용,보행자,보행자,남,좌우회전중,보행자 기타불명,보행자,0.1168
54287,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,지방도,횡단보도상,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,63,70,토,야,사업용 개인택시,사업용,보행자,보행자,남,직진중,보행자 횡단보도횡단중,보행자,0.1168
54298,여,교차로아님,맑음,건조,포장 건조,아니오,경형,보행자,평지,직선,직선,기타불명,기타불명,안전운전의무불이행,기타불명,보행자,횡단중,차대사람 횡단중,아니오,45,84,월,주,비사업용 승용차,비사업용,보행자,보행자,여,후진중,보행자 기타횡단중,보행자,0.1168
54318,여,교차로사지,맑음,건조,포장 건조,아니오,경형,보행자,평지,직선,직선,지방도,교차로내,안전운전의무불이행,기타불명,보행자,횡단중,차대사람 횡단중,아니오,42,60,금,주,비사업용 승용차,비사업용,보행자,보행자,여,좌우회전중,보행자 횡단보도부근횡단중,보행자,0.1168
54324,여,교차로삼지,맑음,건조,포장 건조,아니오,경형,보행자,오르막,좌 커브곡각,좌,시도,교차로내,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,76,66,금,주,비사업용 승용차,비사업용,보행자,보행자,남,좌우회전중,보행자 횡단보도부근횡단중,보행자,0.1168
54333,남,교차로아님,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,31,79,일,야,비사업용 승용차,비사업용,보행자,보행자,여,출발중,보행자 기타불명,보행자,0.1168
54337,여,교차로사지,맑음,건조,포장 건조,아니오,경형,보행자,기타서비스구역,기타구역,기타구역,지방도,교차로내,교차로통행방법위반,기타불명,보행자,횡단중,차대사람 횡단중,아니오,43,81,월,주,사업용 렌터카,사업용,보행자,보행자,여,좌우회전중,보행자 기타횡단중,보행자,0.1168
54345,남,교차로아님,맑음,건조,포장 건조,아니오,대형,보행자,평지,직선,직선,일반국도,기타불명,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,48,74,토,주,사업용 시외버스,사업용,보행자,보행자,여,직진중,보행자 기타불명,보행자,0.0068
54346,남,교차로사지,비,젖음습기,포장 젖음습기,아니오,중형,보행자,평지,직선,직선,일반국도,교차로부근,안전운전의무불이행,기타불명,보행자,횡단중,차대사람 횡단중,아니오,49,74,화,야,사업용 법인택시,사업용,보행자,보행자,여,출발중,보행자 횡단보도횡단중,보행자,0.1168
54348,남,교차로아님,흐림,젖음습기,포장 젖음습기,아니오,소형,보행자,평지,직선,직선,일반국도,횡단보도상,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,45,76,수,주,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 횡단보도횡단중,보행자,1.0
54350,남,교차로아님,흐림,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,37,79,수,주,비사업용 승용차,비사업용,보행자,보행자,여,후진중,보행자 등지고통행중차도,보행자,0.0068
54362,여,교차로아님,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,41,63,금,주,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 등지고통행중차도,보행자,0.0068
54393,남,교차로아님,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,시도,기타단일로,기타불명,안전벨트카시트,보행자,보도통행중,차대사람 보도통행중,아니오,56,68,목,주,비사업용 버스,비사업용,보행자,보행자,남,좌우회전중,보행자 보도통행중,보행자,0.1168
54394,여,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,차도통행중,차대사람 차도통행중,아니오,29,65,목,주,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 등지고통행중차도,보행자,0.1168
54403,남,교차로아님,비,젖음습기,포장 젖음습기,아니오,중형,보행자,평지,직선,직선,시도,횡단보도상,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,51,86,금,야,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 횡단보도횡단중,보행자,0.1168
54409,여,교차로사지,비,젖음습기,포장 젖음습기,아니오,경형,보행자,평지,직선,직선,시도,교차로내,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,45,74,토,주,비사업용 승용차,비사업용,보행자,보행자,여,좌우회전중,보행자 마주보고통행중차도,보행자,0.1168
54410,여,교차로아님,맑음,건조,포장 건조,아니오,경형,보행자,기타서비스구역,기타구역,기타구역,지방도,기타불명,안전운전의무불이행,기타불명,보행자,횡단중,차대사람 횡단중,아니오,56,77,토,주,비사업용 승용차,비사업용,보행자,보행자,여,좌우회전중,보행자 기타불명,보행자,0.1168
54416,남,교차로아님,맑음,건조,포장 건조,아니오,경형,보행자,평지,직선,직선,지방도,기타단일로,안전운전의무불이행,기타불명,보행자,횡단중,차대사람 횡단중,아니오,41,73,일,주,비사업용 승용차,비사업용,보행자,보행자,남,좌우회전중,보행자 기타횡단중,보행자,0.0068
54418,남,교차로삼지,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,시도,교차로내,보행자보호의무위반,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,57,68,월,주,비사업용 비사업용기타,비사업용,보행자,보행자,여,좌우회전중,보행자 횡단보도횡단중,보행자,1.0
54438,남,교차로사지,맑음,건조,포장 건조,아니오,경형,보행자,평지,직선,직선,일반국도,교차로내,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,51,75,목,야,비사업용 승용차,비사업용,보행자,보행자,여,좌우회전중,보행자 횡단보도부근횡단중,보행자,0.0068
54441,여,교차로아님,맑음,건조,포장 건조,아니오,경형,보행자,평지,직선,직선,기타불명,기타단일로,안전운전의무불이행,기타불명,보행자,기타불명,차대사람,아니오,36,66,목,주,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 기타불명,보행자,0.0068
54465,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,기타불명,기타단일로,보행자보호의무위반,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,68,67,월,주,비사업용 승용차,비사업용,보행자,보행자,남,좌우회전중,보행자 횡단보도횡단중,보행자,0.0068
54468,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,일반국도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,차도통행중,차대사람 차도통행중,아니오,68,67,월,주,사업용 법인택시,사업용,보행자,보행자,남,직진중,보행자 기타횡단중,보행자,0.1168
54469,여,교차로아님,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,기타불명,기타단일로,안전운전의무불이행,기타불명,보행자,기타불명,차대사람,아니오,37,62,월,야,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 기타불명,보행자,0.0033
54478,남,교차로아님,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,시도,횡단보도상,신호위반,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,29,72,목,주,비사업용 승용차,비사업용,보행자,보행자,여,좌우회전중,보행자 횡단보도횡단중,보행자,0.1168
54489,남,교차로아님,맑음,건조,포장 건조,아니오,소형,보행자,기타서비스구역,기타구역,기타구역,기타불명,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,43,95,토,주,사업용 일반화물,사업용,보행자,보행자,여,후진중,보행자 기타횡단중,보행자,0.1168
54495,기타불명,교차로삼지,맑음,건조,포장 건조,아니오,기타불명,보행자,평지,직선,직선,기타불명,교차로내,안전운전의무불이행,기타불명,보행자,횡단중,차대사람 횡단중,아니오,0,66,일,야,기타불명,기타불명,보행자,보행자,남,기타불명,보행자 기타불명,보행자,0.0033
54498,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,51,64,월,야,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 기타불명,보행자,0.0068
54511,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,63,78,목,주,비사업용 승용차,비사업용,보행자,보행자,여,후진중,보행자 기타횡단중,보행자,0.1168
