,가해자성별,교차로형태,기상상태,노면상태,노면상태_대분류,노인보호구역,당사자종별가해자,당사자종별피해자,도로선형,도로선형_대분류,도로선형_중분류,도로종류,도로형태,법규위반가해자,보호장구가해자_대분류,보호장구피해자_대분류,사고유형,사고유형_대분류,어린이보호구역,연령가해자,연령피해자,요일,주야,차량용도가해자,차량용도가해자_대분류,차량용도피해자,차량용도피해자_대분류,피해자성별,행동유형가해자,행동유형피해자,행동유형피해자_대분류,도로심각도지수basic
222074,남,교차로사지,맑음,건조,포장 건조,아니오,승합차,보행자,평지,직선,직선,시도,교차로내,보행자보호의무위반,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,68,75,수,주,사업용 전세버스,사업용,보행자,보행자,남,우회전중,보행자 횡단보도내,보행자,0.1168
222243,남,교차로아님,맑음,건조,포장 건조,아니오,승용차,보행자,평지,직선,직선,시도,기타단일로,신호위반,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,23,65,월,야,비사업용 승용차,비사업용,보행자,보행자,남,직진중,보행자 횡단보도내,보행자,0.0068
222283,여,교차로아님,맑음,건조,포장 건조,아니오,승용차,보행자,평지,직선,직선,일반국도,기타단일로,기타불명,안전벨트카시트,보행자,기타불명,차대사람,아니오,22,64,화,주,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 기타불명,보행자,0.0068
222409,남,교차로사지,맑음,건조,포장 건조,아니오,승합차,보행자,평지,직선,직선,일반국도,교차로내,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,54,66,일,주,비사업용 기타건설기계,비사업용,보행자,보행자,남,좌회전중,보행자 기타불명,보행자,0.1168
222657,남,교차로삼지,맑음,건조,포장 건조,아니오,화물차,보행자,오르막,직선,직선,일반국도,교차로횡단보도내,신호위반,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,50,76,화,주,비사업용 화물차,비사업용,보행자,보행자,여,좌회전중,보행자 횡단보도내,보행자,0.1168
222738,여,교차로아님,맑음,건조,포장 건조,아니오,승용차,보행자,평지,직선,직선,일반국도,기타단일로,안전운전의무불이행,기타불명,보행자,기타불명,차대사람,아니오,32,73,수,주,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 길가장자리구역통행,보행자,0.0033
222761,남,교차로삼지,맑음,건조,포장 건조,아니오,승용차,보행자,평지,직선,직선,시도,교차로부근,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,49,72,금,주,비사업용 승용차,비사업용,보행자,보행자,여,우회전중,보행자 길가장자리구역통행,보행자,0.0068
222826,남,교차로사지,맑음,건조,포장 건조,아니오,승용차,보행자,평지,직선,직선,일반국도,교차로내,기타불명,안전벨트카시트,보행자,기타불명,차대사람,아니오,64,77,토,주,사업용 개인택시,사업용,보행자,보행자,여,좌회전중,보행자 횡단보도외,보행자,0.1168
222891,남,교차로삼지,맑음,건조,포장 건조,아니오,화물차,보행자,평지,직선,직선,시도,교차로내,신호위반,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,52,82,월,주,사업용 화물차,사업용,보행자,보행자,여,좌회전중,보행자 횡단보도내,보행자,0.1168
222912,여,교차로아님,맑음,건조,포장 건조,아니오,승용차,보행자,평지,직선,직선,일반국도,기타단일로,기타불명,안전벨트카시트,보행자,기타불명,차대사람,아니오,59,62,월,주,비사업용 승용차,비사업용,보행자,보행자,남,후진중,보행자 기타불명,보행자,0.0068
222934,남,교차로아님,맑음,건조,포장 건조,아니오,승합차,보행자,평지,직선,직선,일반국도,기타불명,안전운전의무불이행,기타불명,보행자,차도통행중,차대사람 차도통행중,아니오,57,72,화,주,비사업용 기타건설기계,비사업용,보행자,보행자,남,직진중,보행자 등지고통행,보행자,0.0033
